1,204,191,509,120,7303
2,509,120,243,741,23811
3,243,741,571,703,58
4,571,703,339,287,18570
5,339,287,354,532,11772
6,354,532,449,728,3126
7,450,728,477,658,99
8,608,405,449,160,283
9,449,160,495,240,52
10,601,396,416,786,86
11,416,786,629,635,33
12,629,635,314,178,19294
13,314,178,301,601,16939
14,301,601,433,230,18093
15,432,230,457,302,18909
16,430,660,612,524,40
17,613,524,234,225,20412
1,44,511,42,187,61
2,42,187,186,654,6146
3,186,654,256,633,3019
4,256,633,105,203,5906
5,105,203,320,152,43
6,320,152,272,220,17144
7,125,633,210,861,10315
8,210,861,240,791,24266
9,463,195,475,163,6
10,475,163,568,641,7176
1,156,374,357,559,49
2,357,559,205,321,14481
3,205,321,455,667,14275
4,455,667,628,253,556
5,628,253,302,465,13017
6,302,465,148,449,4152
7,148,449,250,702,9863
8,250,702,260,624,20002
9,302,255,505,137,9561
10,504,137,537,583,3801
11,484,503,262,342,18742
12,262,342,518,451,14049
13,518,451,330,103,22286
14,330,103,433,240,7615
15,433,240,96,224,6590
16,96,225,338,410,9534
17,330,407,428,524,10606
