1,354,213,381,566,14846
2,391,490,397,82,16232
3,365,148,124,757,15896
4,180,691,488,344,19042
5,422,377,225,765,14168
6,264,711,438,237,17262
7,381,298,308,695,17795
8,332,635,304,117,16571
9,302,186,442,629,16071
10,415,547,260,92,16071
11,263,166,320,478,6545
13,516,688,106,534,8367
14,176,534,544,183,19006
15,487,228,294,495,13119
16,324,428,445,142,13478
18,325,751,42,333,6116
19,91,365,149,354,10
21,528,379,470,767,109
22,445,708,170,564,3637
23,258,620,459,672,291
24,401,618,183,389,15102
25,236,445,491,671,14028
26,457,609,207,224,15369
27,230,297,327,590,10970
28,321,506,332,128,13784
29,330,188,526,651,15866
30,499,589,153,296,14822
31,176,362,237,738,9806
33,347,225,40,579,116
34,101,557,483,547,15642
35,476,503,385,178,16983
38,488,204,152,366,5683
39,179,403,178,619,4617
40,224,561,285,333,13180
41,287,403,381,586,11362
42,360,514,142,280,12010
43,194,312,407,280,3197
